Name,Date,Active cases
XiZang,2020/5/2,0 
XiZang,2020/5/1,0 
XiZang,2020/4/30,0 
XiZang,2020/4/29,0 
XiZang,2020/4/28,0 
XiZang,2020/4/27,0 
XiZang,2020/4/26,0 
XiZang,2020/4/25,0 
XiZang,2020/4/24,0 
XiZang,2020/4/23,0 
XiZang,2020/4/22,0 
XiZang,2020/4/21,0 
XiZang,2020/4/20,0 
XiZang,2020/4/19,0 
XiZang,2020/4/18,0 
XiZang,2020/4/17,0 
XiZang,2020/4/16,0 
XiZang,2020/4/15,0 
XiZang,2020/4/14,0 
XiZang,2020/4/13,0 
XiZang,2020/4/12,0 
XiZang,2020/4/11,0 
XiZang,2020/4/10,0 
XiZang,2020/4/9,0 
XiZang,2020/4/8,0 
XiZang,2020/4/7,0 
XiZang,2020/4/6,0 
XiZang,2020/4/5,0 
XiZang,2020/4/4,0 
XiZang,2020/4/3,0 
XiZang,2020/4/2,0 
XiZang,2020/4/1,0 
XiZang,2020/3/31,0 
XiZang,2020/3/30,0 
XiZang,2020/3/29,0 
XiZang,2020/3/28,0 
XiZang,2020/3/27,0 
XiZang,2020/3/26,0 
XiZang,2020/3/25,0 
XiZang,2020/3/24,0 
XiZang,2020/3/23,0 
XiZang,2020/3/22,0 
XiZang,2020/3/21,0 
XiZang,2020/3/20,0 
XiZang,2020/3/19,0 
XiZang,2020/3/18,0 
XiZang,2020/3/17,0 
XiZang,2020/3/16,0 
XiZang,2020/3/15,0 
XiZang,2020/3/14,0 
XiZang,2020/3/13,0 
XiZang,2020/3/12,0 
XiZang,2020/3/11,0 
XiZang,2020/3/10,0 
XiZang,2020/3/9,0 
XiZang,2020/3/8,0 
XiZang,2020/3/7,0 
XiZang,2020/3/6,0 
XiZang,2020/3/5,0 
XiZang,2020/3/4,0 
XiZang,2020/3/3,0 
XiZang,2020/3/2,0 
XiZang,2020/3/1,0 
XiZang,2020/2/29,0 
XiZang,2020/2/28,0 
XiZang,2020/2/27,0 
XiZang,2020/2/26,0 
XiZang,2020/2/25,0 
XiZang,2020/2/24,0 
XiZang,2020/2/23,0 
XiZang,2020/2/22,0 
XiZang,2020/2/21,0 
XiZang,2020/2/20,0 
XiZang,2020/2/19,0 
XiZang,2020/2/18,0 
XiZang,2020/2/17,0 
XiZang,2020/2/16,0 
XiZang,2020/2/15,0 
XiZang,2020/2/14,0 
